Gage_no,Gage_name,Gage_type,Lat_nwis,Long_nwis,SqKm_nwis,Lat_snap,Long_snap,COMID,COMID_meas,REACHCODE,REACH_meas,NHDPlusReg,State,Pass,CHECKED,QC_notes1,REVIEWED,Rev_notes2,Ver_notes3,Gage_info,QC_final,MovedCOMID
08186000,"Cibolo Ck nr Falls City, TX",CrestStage,29.014138689999999,-97.930280800000006,2141.920158999999785,29.014123921500001,-97.930277122700005,7852265,61.005061017800003,12100304000005,66.422838463299996,12,TX,1, , , , , , ,AutoRef, 
08068900,"Cypress Ck at Stuebner-Airline Rd nr Westfield, TX",CrestStage,30.006609940000001,-95.511885000000007,642.317048999999997,30.006753480099999,-95.512081481600006,1508295,52.584729490199997,12040102000039,52.584729490199997,12,TX,1, , , , , , ,AutoRef, 
08176900,"Coleto Ck at Arnold Rd Crsg nr Schroeder, TX",CrestStage,28.861653080000000,-97.226379100000003,924.625752000000034,28.862617349800001,-97.226071142099997,1638559,29.782073414999999,12100204000079,29.782073414999999,12,TX,1, , , , , , ,AutoRef, 
08198500,"Sabinal Rv at Sabinal, TX",CrestStage,29.314305560000001,-99.480472199999994,624.187132000000020,29.314359613699999,-99.480359081200007,10646003,81.079600161700000,12110106000022,40.207592635099999,12,TX,1, , , , , , ,AutoRef, 
08074500,"Whiteoak Bayou at Houston, TX",CrestStage,29.775227770000001,-95.397161199999999,246.307868000000013,29.775175077600000,-95.397164724500001,1440291,49.333056742700002,12040104000041,49.333056742700002,12,TX,1, , ,MJS 10/27/2017,okay, , ,OK, 
08164300,"Navidad Rv nr Hallettsville, TX",CrestStage,29.466908000000000,-96.812755999999993,859.876048999999966,29.467041477700000,-96.811269588700000,7846049,71.489499270300001,12100102000106,71.489499270300001,12,TX,1, , , , , , ,AutoRef, 
08157500,"Waller Ck at 23rd St, Austin, TX",CrestStage,30.285763469999999,-97.733894199999995,10.696650999999999,30.285672292600001,-97.734175087699995,5781313,32.131771391800001,12090205000126,32.131771391800001,12,TX,1, , ,MJS 10/30/2017,okay, , ,OK, 
08068700,"Cypress Ck at Sharp Rd nr Hockley, TX",CrestStage,29.921058230000000,-95.840228999999994,209.012040000000013,29.921038745699999,-95.840182627900006,1509333,93.482823435900002,12040102000052,93.482823435900002,12,TX,1, , , , , , ,AutoRef, 
08177900,"San Antonio Rv at Navarro St, San Antonio, TX",CrestStage,29.430788339999999,-98.490294800000001,95.052563000000006,29.430937161900001,-98.490347746500007,10840810,6.212345078300000,12100301000187,4.223167715090000,12,TX,1, , ,MJS 10/30/2017,okay, , ,OK, 
08030000,"Cypress Ck nr Buna, TX",CrestStage,30.431316899999999,-93.907954399999994,179.227177000000012,30.431275974100000,-93.907982031800003,8331632,44.095893783599998,12010005000263,44.095893783599998,12,TX,1, , , , , , ,AutoRef, 
08068720,"Cypress Ck at Katy-Hockley Rd nr Hockley, TX",ContGage,29.950223699999999,-95.808283500000002,284.898690999999985,29.949928641800000,-95.808215980900002,1509241,5.473617905260000,12040102000050,5.473617905260000,12,TX,1, , , , , , ,AutoRef, 
08148500,"N Llano Rv nr Junction, TX",CrestStage,30.517410099999999,-99.806179000000000,2367.249123000000054,30.516707819299999,-99.806306422199995,5761759,97.436059999999998,12090202000002,97.436059999999998,12,TX,1, , , , , , ,AutoRef, 
08206700,"San Miguel Ck nr Tilden, TX",CrestStage,28.587487870000000,-98.545851299999995,2027.960681999999906,28.586988029000000,-98.545851603800003,10671061,25.836975133900001,12110109000007,25.836975133900001,12,TX,1, , , , , , ,AutoRef, 
08188600,"GBRA Calhoun Canal Pump Sta nr Long Mott, TX",ContGage,28.496666999999999,-96.771094099999999,0.000000000000000,-9999.000000000000000,-9999.000000000000000,-9999,-9999.000000000000000,-9999,-9999.000000000000000,12,TX,0,SEJ 9/6/17,Drop. Uninitialized flowline., , ,Drop. NHDPlus is not representative. Uninitialized, ,Drop, 
08201500,"Seco Ck at Miller Rh nr Utopia, TX",ContGage,29.573284000000001,-99.403099699999999,116.549464999999998,29.573454406300002,-99.402922759800006,10653905,22.582230452200001,12110107000067,22.582230452200001,12,TX,1, , , , , , ,AutoRef, 
08066191,"Livingston Res Outflow Weir nr Goodrich, TX",CrestStage,30.632141930000000,-95.019935500000003,42949.772662000003038,30.632592413600001,-95.020042043000004,1492990,24.299901469600002,12030202033141,24.299901469600002,12,TX,1, , , , , , ,AutoRef, 
08150800,"Beaver Ck nr Mason, TX",ContGage,30.643515480000001,-99.095884799999993,556.847441000000003,30.643508428600001,-99.095805767399995,5770545,52.299672791299997,12090204000250,52.299672791299997,12,TX,1, , , , , , ,AutoRef, 
08153500,"Pedernales Rv nr Johnson City, TX",CrestStage,30.291866949999999,-98.399467400000006,2333.579278000000158,30.291001591899999,-98.400178980299998,5786075,70.760381078899997,12090206000020,94.483358174200006,12,TX,1, , , , , , ,AutoRef, 
08171000,"Blanco Rv at Wimberley, TX",CrestStage,29.994380799999998,-98.088898000000000,919.445775000000026,29.993714765699998,-98.088715208799997,1630223,69.634027552700005,12100203000084,69.634027552700005,12,TX,1, , , , , , ,AutoRef, 
08160400,"Colorado Rv abv La Grange, TX",ContGage,29.912447400000001,-96.903869900000004,105863.173599000001559,29.913185662200000,-96.895973369399996,5791848,74.930863990600002,12090301000862,38.489489634199998,12,TX,0,SEJ 9/13/17,Okay., , , , ,OK, 
08206910,"Choke Canyon Res OWC nr Three Rivers, TX",ContGage,28.486103260000000,-98.241675200000003,14219.034669000000576,28.485667303000000,-98.241473412199994,10664160,76.595161989199994,12110108000417,76.595161989199994,12,TX,0,SEJ 9/20/17,Okay., , , , ,OK, 
08074250,"Brickhouse Gully at Costa Rica St, Houston, TX",CrestStage,29.828004239999999,-95.469385000000003,29.525863999999999,29.827832806400000,-95.469482771399996,1440245,57.885587569599998,12040104000689,57.885587569599998,12,TX,1, , ,MJS 10/30/2017,okay, , ,OK, 
08205500,"Frio Rv nr Derby, TX",ContGage,28.736644290000001,-99.144755599999996,8881.069195000000036,28.737003575700001,-99.144396264500003,10661028,86.107462493499995,12110106009256,86.107462493499995,12,TX,1, , , , , , ,AutoRef, 
08068780,"Little Cypress Ck nr Cypress, TX",CrestStage,30.016054369999999,-95.697446299999996,106.189511999999993,30.016068077000000,-95.697444739399998,1508121,40.590492727700003,12040102000201,66.762703592899996,12,TX,0,"JAF, 12/21/2015 --> LH 7/11/2017",OK. Water-year summary says 5 ft downstream from bridge on Cypress-Rose Hill Road.,MJS 10/26/2017,okay, , ,OK, 
08164503,"W Mustang Ck nr Ganado, TX",ContGage,29.071858330000001,-96.468027800000002,461.017881999999986,29.072107835299999,-96.467872506999996,7846391,54.934628684000003,12100102000019,54.934628684000003,12,TX,1, , , , , , ,AutoRef, 
08070200,"E Fk San Jacinto Rv nr New Caney, TX",ContGage,30.145493200000001,-95.124375599999993,1004.915383000000020,30.145516517099999,-95.124741689700002,1520083,87.500123825399996,12040103000383,87.500123825399996,12,TX,1, , , , , , ,AutoRef, 
08159000,"Onion Ck at US Hwy 183, Austin, TX",CrestStage,30.177989870000001,-97.688613799999999,831.386179999999968,30.178125761600000,-97.688620509399996,5781369,20.823971116199999,12090205000078,20.823971116199999,12,TX,1, , ,MJS 10/30/2017,okay, , ,OK, 
08066300,"Menard Ck nr Rye, TX",CrestStage,30.481388890000002,-94.779722199999995,393.678191000000027,30.481352054900000,-94.779706761800000,1494036,30.874005980200000,12030202000004,30.874005980200000,12,TX,1, , , , , , ,AutoRef, 
08189500,"Mission Rv at Refugio, TX",ContGage,28.291950880000002,-97.279159300000003,1787.091789000000063,28.292137743800001,-97.278732018499994,5289461,85.173033317399998,12100406000023,85.173033317399998,12,TX,1, , , , , , ,AutoRef, 
08068325,"Willow Ck nr Tomball, TX",CrestStage,30.105495260000001,-95.546608399999997,106.189511999999993,30.105520887499999,-95.546649559499997,1508279,45.313499285399999,12040102000033,27.569720799500001,12,TX,0,SEJ 9/20/17,Okay., , , , ,OK, 
08068090,"W Fk San Jacinto Rv abv Lk Houston nr Porter, TX",ContGage,30.086051399999999,-95.299934800000003,2491.568552000000182,30.085574839700001,-95.300030696600004,1468106,74.452064222100006,12040101000636,79.832244894300004,12,TX,1, , , , , , ,AutoRef, 
08168500,"Guadalupe Rv abv Comal Rv at New Braunfels, TX",ContGage,29.714946500000000,-98.110008300000004,3931.601936000000023,29.715429665300000,-98.109820136200000,1620031,19.138358557000000,12100202000720,17.916251877600001,12,TX,1, , , , , , ,AutoRef, 
08212300,"Tranquitas Ck at Kingsville, TX",CrestStage,27.526146239999999,-97.867498200000000,125.614423000000002,27.526315523200001,-97.867476636099994,1655121,79.715121465500005,12110204000059,79.715121465500005,12,TX,1, , , , , , ,AutoRef, 
08068740,"Cypress Ck at House-Hahl Rd nr Cypress, TX",CrestStage,29.959112000000001,-95.717724899999993,339.288440999999978,29.959141102499999,-95.717702431299998,1509209,61.811823498999999,12040102000047,61.811823498999999,12,TX,1, , ,MJS 10/30/2017,okay, , ,OK, 
08152900,"Pedernales Rv nr Fredericksburg, TX",CrestStage,30.220481469999999,-98.869760900000003,955.705608999999981,30.219880481099999,-98.869908769199995,5785479,62.157391299600000,12090206000060,62.157391299600000,12,TX,1, , ,MJS 10/30/2017,okay, , ,OK, 
